	SORT	BUBBLE	MATRIX	PERM	PUZZLE	QUEENS	TOWER	TREE
IR(4)	1.058	1.648	0.705	1.483	0.505	0.818	0.308	0.651
IR(8)	0.904	1.242	0.678	0.692	0.474	0.777	0.401	0.578
IR(16)	0.737	1.218	0.654	0.505	0.455	0.608	0.45	0.462
								
SIZE_IC(64)	1.058	1.648	0.705	1.483	0.505	0.818	0.308	0.651
SIZE_IC(128)	1.196	1.648	0.706	1.484	0.524	1.201	0.586	0.651
SIZE_IC(256)	1.196	1.648	0.706	1.484	0.595	1.207	1.12	0.759
SIZE_IC(512)	1.196	1.648	0.706	1.484	0.595	1.207	1.12	0.759
SIZE_IC(1024)	1.196	1.648	0.706	1.484	0.595	1.207	1.12	0.759
SIZE_IC(2048)	1.196	1.648	0.706	1.484	0.595	1.207	1.12	0.759
SIZE_IC(4096)	1.196	1.648	0.706	1.484	0.595	1.207	1.12	0.759
SIZE_IC(8192)	1.196	1.648	0.706	1.484	0.595	1.207	1.12	0.759
